ID via;TIPO;Via;Tipo via
7150;1;FRANCESCO FERRUCCI;Via
7151;1;GIOVANNI DA PROCIDA;Via
7152;1;DOMODOSSOLA;Via
7153;1;TREBAZIO;Via
7154;1;FRANCESCO FILELFO;Via
7155;1;LUIGI MANFREDINI;Via
7156;1;GATTAMELATA;Via
7157;1;MARCO ULPIO TRAIANO;Via
7158;1;MARCANTONIO COLONNA;Via
7159;7;STEFANO TURR;Ple
7160;2;TEODORICO;Vle
7161;1;CARLO ILARIONE PETITTI;Via
7162;1;LUIGI GIUSEPPE FARAVELLI;Via
7163;1;RUGGERO DI LAURIA;Via
7164;7;DAMIANO CHIESA;Ple
7165;1;ALCUINO;Via
7166;7;CARLO MAGNO;Ple
7167;1;LEON BATTISTA ALBERTI;Via
7168;1;EMANUELE FILIBERTO;Via
7169;1;ARONA;Via
7170;1;CORLEONE;Via
7171;1;ALESSANDRO ARNABOLDI;Via
7172;1;ARMENIA;Via
7173;3;FIRENZE;Pza
7174;2;CERTOSA;Vle
7175;1;DELLA BINDELLINA;Via
7176;2;MONTE CENERI;Vle
7177;1;GIOVANNI ANTONIO PLANA;Via
7178;1;LORENZO BARTOLINI;Via
7179;1;GIUSEPPE ARIMONDI;Via
7180;1;MONTE GENEROSO;Via
7181;1;MICHELE AMARI;Via
7182;1;FRANCESCO CARACCIOLO;Via
7183;1;TOLENTINO;Via
7184;1;CENISIO;Via
7185;3;CARLO CANEVA;Pza
7186;1;EZIO BIONDI;Via
7187;1;FRATELLI SALVIONI;Via
7188;1;PIERO DELLA FRANCESCA;Via
7189;1;BULLONA;Via
7190;1;LOSANNA;Via
7191;1;DELLA GARANCETTA;Via
7192;1;GIOVANNI BATTISTA FAUCHE';Via
7193;1;CHIETI;Via
7194;1;CAMPOBASSO;Via
7195;1;LODOVICO CASTELVETRO;Via
7196;1;POLIZIANO;Via
7197;1;TOMMASO AGUDIO;Via
7198;1;GEROLAMO CHIZZOLINI;Via
7199;1;GIUSEPPE MUSSI;Via
7200;1;PIETRO MARUSSIG;Via
7201;3;GERUSALEMME;Pza
7202;1;SARONNO;Via
7203;1;ANDREA MANTEGNA;Via
7204;1;GIULIO CESARE PROCACCINI;Via
7205;3;ANTONIO GRAMSCI;Pza
7206;1;VENAFRO;Via
7207;1;GIOVANNI BATTISTA BERTINI;Via
7208;1;LUCA SIGNORELLI;Via
7209;1;ALEARDO ALEARDI;Via
7210;1;PAOLO SARPI;Via
7211;1;MESSINA;Via
7212;1;MONVISO;Via
7213;1;NICOLO' TARTAGLIA;Via
7214;1;GIACOMO SOLDATI;Via
7215;1;SAN GALDINO;Via
7216;1;MONTE ASOLONE;Via
